,predicted_mean
6/14/2021,84.60418118
6/15/2021,84.56131565
6/16/2021,84.52464033
6/17/2021,84.49325917
6/18/2021,84.4664064
6/19/2021,84.4434274
6/20/2021,84.42376253
6/21/2021,84.40693318
6/22/2021,84.39253006
6/23/2021,84.38020304
6/24/2021,84.36965264
6/25/2021,84.36062263
6/26/2021,84.35289377
6/27/2021,84.34627849
6/28/2021,84.34061628
6/29/2021,84.33576977
6/30/2021,84.33162141
7/1/2021,84.32807061
7/2/2021,84.32503127
7/3/2021,84.32242971
7/4/2021,84.32020286
7/5/2021,84.31829673
7/6/2021,84.31666514
7/7/2021,84.31526853
7/8/2021,84.31407307
7/9/2021,84.31304977
7/10/2021,84.31217385
7/11/2021,84.31142407
7/12/2021,84.31078227
7/13/2021,84.3102329
7/14/2021,84.30976265
7/15/2021,84.30936012
7/16/2021,84.30901556
7/17/2021,84.30872061
7/18/2021,84.30846815
7/19/2021,84.30825204
7/20/2021,84.30806705
7/21/2021,84.3079087
7/22/2021,84.30777316
7/23/2021,84.30765713
7/24/2021,84.30755782
7/25/2021,84.3074728
7/26/2021,84.30740003
7/27/2021,84.30733774
