,predicted_mean
2021-05-07,26.469111510952434
2021-05-08,27.995565197970283
2021-05-09,29.429809303618192
2021-05-10,30.769663809142532
2021-05-11,32.014923348466056
2021-05-12,33.166976973087365
2021-05-13,34.22845886630461
2021-05-14,35.20293793688025
2021-05-15,36.09464957530478
2021-05-16,36.9082695525491
2021-05-17,37.64872784883753
2021-05-18,38.32105887813609
2021-05-19,38.930283901982385
2021-05-20,39.48132121587376
2021-05-21,39.978919791029575
2021-05-22,40.427612347173174
2021-05-23,40.83168423182063
2021-05-24,41.19515492740319
2021-05-25,41.521769458239774
2021-05-26,41.81499739880413
2021-05-27,42.07803757777749
2021-05-28,42.31382692164989
2021-05-29,42.5250521849608
2021-05-30,42.714163572824546
2021-05-31,42.88338947833158
2021-06-01,43.034751736955364
2021-06-02,43.17008094683364
2021-06-03,43.29103152232436
2021-06-04,43.399096242897606
2021-06-05,43.49562013415285
2021-06-06,43.58181357602885
2021-06-07,43.65876457811817
2021-06-08,43.72745019597965
2021-06-09,43.78874708761923
2021-06-10,43.843441227678426
2021-06-11,43.89223680980556
2021-06-12,43.93576437639185
2021-06-13,43.97458822030624
2021-06-14,44.00921310623993
2021-06-15,44.040090360396874
2021-06-16,44.06762337703057
2021-06-17,44.09217258911665
2021-06-18,44.11405994856453
2021-06-19,44.13357295904037
2021-06-20,44.1509683018738
2021-06-21,44.16647509278504
2021-06-22,44.18029780439451
2021-06-23,44.19261888673543
2021-06-24,44.203601115331146
2021-06-25,44.213389693858176
2021-06-26,44.222114136012955
2021-06-27,44.22988994895055
2021-06-28,44.23682013857005
2021-06-29,44.24299655498673
2021-06-30,44.248501094750814
2021-07-01,44.25340677474239
2021-07-02,44.2577786911835
2021-07-03,44.26167487585439
2021-07-04,44.26514706037119
2021-07-05,44.268241358269506
2021-07-06,44.27099887363203
2021-07-07,44.27345624409034
2021-07-08,44.275646125213164
2021-07-09,44.277597622557565
2021-07-10,44.2793366769974
2021-07-11,44.2808864083501
2021-07-12,44.28226742178925
2021-07-13,44.28349808105335
2021-07-14,44.284594752032646
2021-07-15,44.285572019933106
2021-07-16,44.28644288287373
2021-07-17,44.28721892446651
2021-07-18,44.28791046765452
2021-07-19,44.288526711838394
