,predicted_mean
7/4/2021,90.88883129
7/5/2021,90.95819382
7/6/2021,91.01813188
7/7/2021,91.06992098
7/8/2021,91.11466527
7/9/2021,91.15332025
7/10/2021,91.18671254
7/11/2021,91.21555707
7/12/2021,91.24047205
7/13/2021,91.26199195
7/14/2021,91.28057875
7/15/2021,91.29663174
7/16/2021,91.31049599
7/17/2021,91.32246965
7/18/2021,91.33281033
7/19/2021,91.34174059
7/20/2021,91.34945269
7/21/2021,91.35611271
7/22/2021,91.36186412
7/23/2021,91.36683083
7/24/2021,91.37111987
7/25/2021,91.37482368
7/26/2021,91.37802208
7/27/2021,91.38078404
