Date,CC
3/26/2021,0.0032
3/27/2021,0.0221
3/28/2021,0.041
3/29/2021,0.0599
3/30/2021,0.0788
3/31/2021,0.0977
4/1/2021,0.1166
4/2/2021,0.1355
4/3/2021,0.1544
4/4/2021,0.1733
4/5/2021,0.1922
4/6/2021,0.2111
4/7/2021,0.23
4/8/2021,0.96
4/9/2021,1.69
4/10/2021,2.42
4/11/2021,3.15
4/12/2021,3.88
4/13/2021,4.61
4/14/2021,5.34
4/15/2021,6.07
4/16/2021,6.8
4/17/2021,7.53
4/18/2021,8.26
4/19/2021,8.99
4/20/2021,9.54
4/21/2021,10.09
4/22/2021,10.64
4/23/2021,11.19
4/24/2021,11.74
4/25/2021,12.29
4/26/2021,12.84
4/27/2021,13.39
4/28/2021,13.94
4/29/2021,14.49
4/30/2021,15.84666667
5/1/2021,17.20333333
5/2/2021,18.56
5/3/2021,19.91666667
5/4/2021,21.27333333
5/5/2021,22.63
5/6/2021,24.855
5/7/2021,27.08
5/8/2021,29.305
5/9/2021,31.53
5/10/2021,33.755
5/11/2021,35.98
5/12/2021,38.205
5/13/2021,40.43
5/14/2021,43.04
5/15/2021,45.65
5/16/2021,48.26
5/17/2021,50.87
5/18/2021,53.48
5/19/2021,56.09
5/20/2021,57.82
5/21/2021,59.55
5/22/2021,61.28
5/23/2021,63.01
5/24/2021,64.74
5/25/2021,66.47
5/26/2021,68.2
5/27/2021,69.86
5/28/2021,71.52
5/29/2021,73.18
5/30/2021,74.84
5/31/2021,76.5
6/1/2021,78.16
6/2/2021,79.82
6/3/2021,80.44625
6/4/2021,81.0725
6/5/2021,81.69875
6/6/2021,82.325
6/7/2021,82.95125
6/8/2021,83.5775
6/9/2021,84.20375
6/10/2021,84.83
6/11/2021,84.77142857
6/12/2021,84.71285714
6/13/2021,84.65428571
6/14/2021,84.59571429
6/15/2021,84.53714286
6/16/2021,84.47857143
6/17/2021,84.42
6/18/2021,84.99142857
6/19/2021,85.56285714
6/20/2021,86.13428571
6/21/2021,86.70571429
6/22/2021,87.27714286
6/23/2021,87.84857143
6/24/2021,88.42
6/25/2021,88.77166667
6/26/2021,89.12333333
6/27/2021,89.475
6/28/2021,89.82666667
6/29/2021,90.17833333
6/30/2021,90.53
7/1/2021,90.62285714
7/2/2021,90.71571429
7/3/2021,90.80857143
7/4/2021,90.90142857
7/5/2021,90.99428571
7/6/2021,91.08714286
7/7/2021,91.18
7/8/2021,91.27285714
7/9/2021,91.36571429
7/10/2021,91.45857143
7/11/2021,91.55142857
7/12/2021,91.64428571
7/13/2021,91.73714286
7/14/2021,91.83
7/15/2021,92.378
7/16/2021,92.926
7/17/2021,93.474
7/18/2021,94.022
7/19/2021,94.57
