,predicted_mean
2021-05-21,0.20393681391462412
2021-05-22,0.2158096691436129
2021-05-23,0.22820333820610827
2021-05-24,0.24113107858092125
2021-05-25,0.2546060421016879
2021-05-26,0.2686412553550219
2021-05-27,0.2832496001306636
2021-05-28,0.29844379397217685
2021-05-29,0.3142363708761136
2021-05-30,0.33063966218676516
2021-05-31,0.3476657777326543
2021-06-01,0.3653265872498009
2021-06-02,0.3836337021355236
2021-06-03,0.4025984575751323
2021-06-04,0.4222318950823285
2021-06-05,0.44254474549247447
2021-06-06,0.4635474124461241
2021-06-07,0.4852499563983443
2021-06-08,0.5076620791874008
2021-06-09,0.5307931091943499
2021-06-10,0.5546519871229766
2021-06-11,0.5792472524273655
2021-06-12,0.6045870304121832
2021-06-13,0.6306790200285122
2021-06-14,0.6575304823858105
2021-06-15,0.6851482299982872
2021-06-16,0.7135386167816934
2021-06-17,0.7427075288142403
2021-06-18,0.7726603758730812
2021-06-19,0.8034020837555326
2021-06-20,0.8349370873919845
2021-06-21,0.8672693247552532
2021-06-22,0.900402231568976
2021-06-23,0.9343387368155486
2021-06-24,0.9690812590420528
2021-06-25,1.004631703460641
2021-06-26,1.040991459837917
2021-06-27,1.0781614011660092
2021-06-28,1.116141883106251
2021-06-29,1.1549327441946944
2021-06-30,1.194533306797063
2021-07-01,1.2349423787992238
2021-07-02,1.2761582560178182
2021-07-03,1.318178725314332
2021-07-04,1.3610010683946316
2021-07-05,1.404622066274812
2021-07-06,1.4490380043931306
2021-07-07,1.4942446783468073
2021-07-08,1.540237400231578
2021-07-09,1.5870110055610833
2021-07-10,1.634559860742459
2021-07-11,1.6828778710838694
2021-07-12,1.7319584893091848
2021-07-13,1.7817947245545551
2021-07-14,1.8323791518212598
2021-07-15,1.8837039218589273
2021-07-16,1.935760771453012
2021-07-17,1.9885410340902796
2021-07-18,2.0420356509759983
2021-07-19,2.096235182376545
