,predicted_mean
2021-05-28,0.3594288099343886
2021-05-29,0.3691433338687772
2021-05-30,0.3788578578031658
2021-05-31,0.3885723817375544
2021-06-01,0.39828690567194297
2021-06-02,0.40800142960633157
2021-06-03,0.41771595354072016
2021-06-04,0.42743047747510876
2021-06-05,0.43714500140949736
2021-06-06,0.44685952534388595
2021-06-07,0.45657404927827455
2021-06-08,0.46628857321266315
2021-06-09,0.47600309714705175
2021-06-10,0.48571762108144034
2021-06-11,0.49543214501582894
2021-06-12,0.5051466689502175
2021-06-13,0.5148611928846062
2021-06-14,0.5245757168189948
2021-06-15,0.5342902407533835
2021-06-16,0.5440047646877721
2021-06-17,0.5537192886221608
2021-06-18,0.5634338125565495
2021-06-19,0.5731483364909381
2021-06-20,0.5828628604253268
2021-06-21,0.5925773843597154
2021-06-22,0.6022919082941041
2021-06-23,0.6120064322284927
2021-06-24,0.6217209561628814
2021-06-25,0.63143548009727
2021-06-26,0.6411500040316587
2021-06-27,0.6508645279660473
2021-06-28,0.660579051900436
2021-06-29,0.6702935758348246
2021-06-30,0.6800080997692133
2021-07-01,0.6897226237036019
2021-07-02,0.6994371476379906
2021-07-03,0.7091516715723792
2021-07-04,0.7188661955067679
2021-07-05,0.7285807194411565
2021-07-06,0.7382952433755452
2021-07-07,0.7480097673099338
2021-07-08,0.7577242912443225
2021-07-09,0.7674388151787112
2021-07-10,0.7771533391130998
2021-07-11,0.7868678630474885
2021-07-12,0.7965823869818771
2021-07-13,0.8062969109162658
2021-07-14,0.8160114348506544
2021-07-15,0.8257259587850431
2021-07-16,0.8354404827194317
2021-07-17,0.8451550066538204
2021-07-18,0.854869530588209
2021-07-19,0.8645840545225977
