,predicted_mean
6/24/2021,88.34306819
6/25/2021,88.77062746
6/26/2021,89.14004041
6/27/2021,89.45901432
6/28/2021,89.73428733
6/29/2021,89.9717363
6/30/2021,90.17647664
7/1/2021,90.35295329
7/2/2021,90.50502298
7/3/2021,90.63602791
7/4/2021,90.74886129
7/5/2021,90.84602539
7/6/2021,90.92968268
7/7/2021,91.00170073
7/8/2021,91.06369147
7/9/2021,91.11704555
7/10/2021,91.16296217
7/11/2021,91.20247509
7/12/2021,91.23647517
7/13/2021,91.2657299
7/14/2021,91.29090038
7/15/2021,91.31255589
7/16/2021,91.33118663
7/17/2021,91.34721459
7/18/2021,91.36100302
7/19/2021,91.37286457
7/20/2021,91.38306831
7/21/2021,91.39184581
7/22/2021,91.39939629
7/23/2021,91.40589122
7/24/2021,91.41147809
7/25/2021,91.41628381
7/26/2021,91.42041758
7/27/2021,91.42397332
