,predicted_mean
2021-06-04,81.42306324012122
2021-06-05,82.32147043618657
2021-06-06,83.14690118558902
2021-06-07,83.90456237880936
2021-06-08,84.59941695205985
2021-06-09,85.23617049050965
2021-06-10,85.81926423578258
2021-06-11,86.3528732437717
2021-06-12,86.84090861753609
2021-06-13,87.2870229027286
2021-06-14,87.6946178786528
2021-06-15,88.0668541066668
2021-06-16,88.4066617098903
2021-06-17,88.7167519551126
2021-06-18,88.99962929074532
2021-06-19,89.25760356503254
2021-06-20,89.4928022079454
2021-06-21,89.70718220962975
2021-06-22,89.90254176923757
2021-06-23,90.08053152164254
2021-06-24,90.24266527698668
2021-06-25,90.39033023018106
2021-06-26,90.524796615225
2021-06-27,90.64722679323961
2021-06-28,90.75868377406384
2021-06-29,90.86013917967078
2021-06-30,90.95248066398338
2021-07-01,91.03651880829307
2021-07-02,91.1129935147325
2021-07-03,91.18257992239994
2021-07-04,91.24589387200243
2021-07-05,91.30349694546344
2021-07-06,91.35590110698635
2021-07-07,91.40357297169943
2021-07-08,91.44693772733672
2021-07-09,91.48638273351499
2021-07-10,91.52226082211659
2021-07-11,91.55489332113233
2021-07-12,91.58457282310684
2021-07-13,91.61156571808466
2021-07-14,91.63611450971193
2021-07-15,91.65843993192148
2021-07-16,91.67874288243523
2021-07-17,91.69720618816369
2021-07-18,91.71399621648077
2021-07-19,91.72926434530402
2021-07-20,91.74314830391907
