Date,EXG
3/26/2021,-0.009
3/27/2021,-0.008233333
3/28/2021,-0.007466667
3/29/2021,-0.0067
3/30/2021,-0.005933333
3/31/2021,-0.005166667
4/1/2021,-0.0044
4/2/2021,-0.003633333
4/3/2021,-0.002866667
4/4/2021,-0.0021
4/5/2021,-0.001333333
4/6/2021,-0.000566667
4/7/2021,0.0002
4/8/2021,0.001266667
4/9/2021,0.002333333
4/10/2021,0.0034
4/11/2021,0.004466667
4/12/2021,0.005533333
4/13/2021,0.0066
4/14/2021,0.007666667
4/15/2021,0.008733333
4/16/2021,0.0098
4/17/2021,0.010866667
4/18/2021,0.011933333
4/19/2021,0.013
4/20/2021,0.0166
4/21/2021,0.0202
4/22/2021,0.0238
4/23/2021,0.0274
4/24/2021,0.031
4/25/2021,0.0346
4/26/2021,0.0382
4/27/2021,0.0418
4/28/2021,0.0454
4/29/2021,0.049
4/30/2021,0.055333333
5/1/2021,0.061666667
5/2/2021,0.068
5/3/2021,0.074333333
5/4/2021,0.080666667
5/5/2021,0.087
5/6/2021,0.094875
5/7/2021,0.10275
5/8/2021,0.110625
5/9/2021,0.1185
5/10/2021,0.126375
5/11/2021,0.13425
5/12/2021,0.142125
5/13/2021,0.15
5/14/2021,0.1555
5/15/2021,0.161
5/16/2021,0.1665
5/17/2021,0.172
5/18/2021,0.1775
5/19/2021,0.183
5/20/2021,0.192571429
5/21/2021,0.202142857
5/22/2021,0.211714286
5/23/2021,0.221285714
5/24/2021,0.230857143
5/25/2021,0.240428571
5/26/2021,0.25
5/27/2021,0.25
5/28/2021,0.25
5/29/2021,0.25
5/30/2021,0.25
5/31/2021,0.25
6/1/2021,0.25
6/2/2021,0.25
6/3/2021,0.2475
6/4/2021,0.245
6/5/2021,0.2425
6/6/2021,0.24
6/7/2021,0.2375
6/8/2021,0.235
6/9/2021,0.2325
6/10/2021,0.23
6/11/2021,0.23
6/12/2021,0.23
6/13/2021,0.23
6/14/2021,0.23
6/15/2021,0.23
6/16/2021,0.23
6/17/2021,0.23
6/18/2021,0.231428571
6/19/2021,0.232857143
6/20/2021,0.234285714
6/21/2021,0.235714286
6/22/2021,0.237142857
6/23/2021,0.238571429
6/24/2021,0.24
6/25/2021,0.236666667
6/26/2021,0.233333333
6/27/2021,0.23
6/28/2021,0.226666667
6/29/2021,0.223333333
6/30/2021,0.22
7/1/2021,0.220285714
7/2/2021,0.220571429
7/3/2021,0.220857143
7/4/2021,0.221142857
7/5/2021,0.221428571
7/6/2021,0.221714286
7/7/2021,0.222
7/8/2021,0.222285714
7/9/2021,0.222571429
7/10/2021,0.222857143
7/11/2021,0.223142857
7/12/2021,0.223428571
7/13/2021,0.223714286
7/14/2021,0.224
7/15/2021,0.2232
7/16/2021,0.2224
7/17/2021,0.2216
7/18/2021,0.2208
7/19/2021,0.22
