,predicted_mean
5/25/2021,66.23766016
5/26/2021,67.52915628
5/27/2021,68.63922044
5/28/2021,69.5907009
5/29/2021,70.40434727
5/30/2021,71.0987535
5/31/2021,71.69040658
6/1/2021,72.19380165
6/2/2021,72.62159528
6/3/2021,72.98477664
6/4/2021,73.29284319
6/5/2021,73.55397189
6/6/2021,73.77518055
6/7/2021,73.96247632
6/8/2021,74.12098996
6/9/2021,74.25509567
6/10/2021,74.36851692
6/11/2021,74.46441919
6/12/2021,74.5454907
6/13/2021,74.61401227
6/14/2021,74.67191759
6/15/2021,74.72084502
6/16/2021,74.76218193
6/17/2021,74.79710261
6/18/2021,74.82660063
6/19/2021,74.85151639
6/20/2021,74.87256051
6/21/2021,74.89033374
6/22/2021,74.90534388
6/23/2021,74.91802006
6/24/2021,74.92872487
6/25/2021,74.93776469
6/26/2021,74.94539833
6/27/2021,74.9518444
6/28/2021,74.95728758
6/29/2021,74.96188385
6/30/2021,74.96576494
7/1/2021,74.96904209
7/2/2021,74.97180927
7/3/2021,74.97414583
7/4/2021,74.97611876
7/5/2021,74.97778464
7/6/2021,74.97919126
7/7/2021,74.98037897
7/8/2021,74.98138182
7/9/2021,74.98222859
7/10/2021,74.98294357
7/11/2021,74.98354727
7/12/2021,74.98405701
7/13/2021,74.98448741
7/14/2021,74.98485083
7/15/2021,74.98515767
7/16/2021,74.98541676
7/17/2021,74.98563553
7/18/2021,74.98582024
7/19/2021,74.9859762
7/20/2021,74.98610789
7/21/2021,74.98621908
7/22/2021,74.98631297
7/23/2021,74.98639224
7/24/2021,74.98645917
7/25/2021,74.98651569
7/26/2021,74.98656341
7/27/2021,74.9866037
