,predicted_mean
5/5/2021,22.45821833
5/6/2021,23.48212188
5/7/2021,24.3592044
5/8/2021,25.10512788
5/9/2021,25.73575847
5/10/2021,26.26632397
5/11/2021,26.71091594
5/12/2021,27.08223884
5/13/2021,27.39152715
5/14/2021,27.64857025
5/15/2021,27.8618016
5/16/2021,28.03842176
5/17/2021,28.18453516
5/18/2021,28.30528764
5/19/2021,28.40499724
5/20/2021,28.48727411
5/21/2021,28.55512749
5/22/2021,28.61105972
5/23/2021,28.65714749
5/24/2021,28.69511148
5/25/2021,28.7263755
5/26/2021,28.75211648
5/27/2021,28.77330636
5/28/2021,28.79074727
5/29/2021,28.80510079
5/30/2021,28.81691228
5/31/2021,28.82663115
6/1/2021,28.83462763
6/2/2021,28.84120659
6/3/2021,28.84661908
6/4/2021,28.85107175
6/5/2021,28.85473469
6/6/2021,28.85774791
6/7/2021,28.86022659
6/8/2021,28.86226552
6/9/2021,28.86394271
6/10/2021,28.86532231
6/11/2021,28.86645711
6/12/2021,28.86739055
6/13/2021,28.86815835
6/14/2021,28.8687899
6/15/2021,28.86930937
6/16/2021,28.86973666
6/17/2021,28.87008812
6/18/2021,28.87037721
6/19/2021,28.87061499
6/20/2021,28.87081058
6/21/2021,28.87097145
6/22/2021,28.87110378
6/23/2021,28.87121262
6/24/2021,28.87130214
6/25/2021,28.87137578
6/26/2021,28.87143634
6/27/2021,28.87148616
6/28/2021,28.87152714
6/29/2021,28.87156084
6/30/2021,28.87158857
7/1/2021,28.87161137
7/2/2021,28.87163013
7/3/2021,28.87164555
7/4/2021,28.87165824
7/5/2021,28.87166868
7/6/2021,28.87167727
7/7/2021,28.87168433
7/8/2021,28.87169013
7/9/2021,28.87169491
7/10/2021,28.87169884
7/11/2021,28.87170207
7/12/2021,28.87170473
7/13/2021,28.87170692
7/14/2021,28.87170872
7/15/2021,28.8717102
7/16/2021,28.87171141
7/17/2021,28.87171241
7/18/2021,28.87171324
7/19/2021,28.87171392
7/20/2021,28.87171447
7/21/2021,28.87171493
7/22/2021,28.87171531
7/23/2021,28.87171562
7/24/2021,28.87171587
7/25/2021,28.87171608
7/26/2021,28.87171625
7/27/2021,28.8717164
